country,year,sex,age,suicides_no,population
Albania,2004,female,75+ years,3,50970
Albania,2004,male,15-24 years,19,286768
Albania,2004,male,25-34 years,16,203938
Albania,2004,male,35-54 years,39,391767
Albania,2004,male,5-14 years,1,302181
Albania,2004,male,55-74 years,10,207202
Albania,2004,male,75+ years,4,35526
Albania,2005,female,15-24 years,0,281922
Albania,2005,female,25-34 years,0,190745
Albania,2005,female,35-54 years,0,386513
Albania,2005,female,5-14 years,0,276559
Albania,2005,female,55-74 years,0,210998
Albania,2005,female,75+ years,0,53191
Albania,2005,male,15-24 years,0,281675
Albania,2005,male,25-34 years,0,177519
Albania,2005,male,35-54 years,0,380242
Albania,2005,male,5-14 years,0,291367
Albania,2005,male,55-74 years,0,214118
Albania,2005,male,75+ years,0,38471
Albania,2006,female,15-24 years,0,283138
Albania,2006,female,25-34 years,0,186391
Albania,2006,female,35-54 years,0,388746
Albania,2006,female,5-14 years,0,267316
Albania,2006,female,55-74 years,0,215907
Albania,2006,female,75+ years,0,56011
Albania,2006,male,15-24 years,0,286679
Albania,2006,male,25-34 years,0,174092
Albania,2006,male,35-54 years,0,379076
Albania,2006,male,5-14 years,0,282678
Albania,2006,male,55-74 years,0,219360
Albania,2006,male,75+ years,0,40782
Albania,2007,female,15-24 years,13,281080
Albania,2007,female,25-34 years,8,183629
Albania,2007,female,35-54 years,14,391811
Albania,2007,female,5-14 years,0,256808
Albania,2007,female,55-74 years,9,221120
Albania,2007,female,75+ years,3,57404
Albania,2007,male,15-24 years,13,288349
Albania,2007,male,25-34 years,9,172494
Albania,2007,male,35-54 years,29,378626
Albania,2007,male,5-14 years,4,272497
Albania,2007,male,55-74 years,14,224160
Albania,2007,male,75+ years,8,42366
Albania,2008,female,15-24 years,20,276073
Albania,2008,female,25-34 years,9,182663
Albania,2008,female,35-54 years,19,393832
Albania,2008,female,5-14 years,1,246288
Albania,2008,female,55-74 years,7,226448
Albania,2008,female,75+ years,5,59369
Albania,2008,male,15-24 years,11,286702
Albania,2008,male,25-34 years,21,172855
Albania,2008,male,35-54 years,37,377119
Albania,2008,male,5-14 years,7,262464
Albania,2008,male,55-74 years,21,228672
Albania,2008,male,75+ years,2,44574
Albania,2009,female,15-24 years,0,270003
Albania,2009,female,25-34 years,0,182712
Albania,2009,female,35-54 years,0,394286
Albania,2009,female,5-14 years,0,236174
Albania,2009,female,55-74 years,0,233302
Albania,2009,female,75+ years,0,61582
Albania,2009,male,15-24 years,0,283448
Albania,2009,male,25-34 years,0,174955
Albania,2009,male,35-54 years,0,374365
Albania,2009,male,5-14 years,0,253007
Albania,2009,male,55-74 years,0,234570
Albania,2009,male,75+ years,0,47331
Albania,2010,female,15-24 years,6,263581
Albania,2010,female,25-34 years,6,183579
Albania,2010,female,35-54 years,12,394593
Albania,2010,female,5-14 years,2,223969
Albania,2010,female,55-74 years,7,241491
Albania,2010,female,75+ years,2,64415
Albania,2010,male,15-24 years,10,279508
Albania,2010,male,25-34 years,9,179720
Albania,2010,male,35-54 years,20,371611
Albania,2010,male,5-14 years,0,240939
Albania,2010,male,55-74 years,20,241852
Albania,2010,male,75+ years,2,50767
Albania,2011,female,15-24 years,,258006
Albania,2011,female,25-34 years,,184556
Albania,2011,female,35-54 years,,394638
Albania,2011,female,5-14 years,,210822
Albania,2011,female,55-74 years,,250641
Albania,2011,female,75+ years,,67649
Albania,2011,male,15-24 years,,275385
Albania,2011,male,25-34 years,,185898
Albania,2011,male,35-54 years,,368950
Albania,2011,male,5-14 years,,228071
Albania,2011,male,55-74 years,,250362
Albania,2011,male,75+ years,,54228
Albania,2012,female,15-24 years,,249730
Albania,2012,female,25-34 years,,187346
Albania,2012,female,35-54 years,,395819
Albania,2012,female,5-14 years,,198385
Albania,2012,female,55-74 years,,259751
Albania,2012,female,75+ years,,69811
Albania,2012,male,15-24 years,,268954
Albania,2012,male,25-34 years,,194250
Albania,2012,male,35-54 years,,369536
Albania,2012,male,5-14 years,,215894
Albania,2012,male,55-74 years,,259056
Albania,2012,male,75+ years,,56701
Albania,2013,female,15-24 years,,237550
Albania,2013,female,25-34 years,,191853
Albania,2013,female,35-54 years,,397517
Albania,2013,female,5-14 years,,187558
Albania,2013,female,55-74 years,,269026
Albania,2013,female,75+ years,,71601
Albania,2013,male,15-24 years,,259826
Albania,2013,male,25-34 years,,204491
Albania,2013,male,35-54 years,,372005
Albania,2013,male,5-14 years,,204865
Albania,2013,male,55-74 years,,267905
Albania,2013,male,75+ years,,59113
Albania,2014,female,15-24 years,,224883
Albania,2014,female,25-34 years,,195460
Albania,2014,female,35-54 years,,399197
Albania,2014,female,5-14 years,,177838
Albania,2014,female,55-74 years,,278887
Albania,2014,female,75+ years,,73945
Albania,2014,male,15-24 years,,250345
Albania,2014,male,25-34 years,,213828
Albania,2014,male,35-54 years,,373493
Albania,2014,male,5-14 years,,194554
Albania,2014,male,55-74 years,,277604
Albania,2014,male,75+ years,,61678
Albania,2015,female,15-24 years,,212324
Albania,2015,female,25-34 years,,199024
Albania,2015,female,35-54 years,,400275
Albania,2015,female,5-14 years,,168140
Albania,2015,female,55-74 years,,289055
Albania,2015,female,75+ years,,76861
Albania,2015,male,15-24 years,,240777
Albania,2015,male,25-34 years,,222680
Albania,2015,male,35-54 years,,374464
Albania,2015,male,5-14 years,,184114
Albania,2015,male,55-74 years,,287770
Albania,2015,male,75+ years,,64200
Anguilla,1983,female,15-24 years,0,
Anguilla,1983,female,25-34 years,0,
Anguilla,1983,female,35-54 years,0,
Anguilla,1983,female,5-14 years,0,
Anguilla,1983,female,55-74 years,0,
Anguilla,1983,female,75+ years,0,
Anguilla,1983,male,15-24 years,0,
Anguilla,1983,male,25-34 years,0,
Anguilla,1983,male,35-54 years,0,
Anguilla,1983,male,5-14 years,0,
Anguilla,1983,male,55-74 years,0,
Anguilla,1983,male,75+ years,0,
Anguilla,1984,female,15-24 years,0,
Anguilla,1984,female,25-34 years,0,
Anguilla,1984,female,35-54 years,0,
Anguilla,1984,female,5-14 years,0,
Anguilla,1984,female,55-74 years,0,
Anguilla,1984,female,75+ years,0,
Anguilla,1984,male,15-24 years,0,
Anguilla,1984,male,25-34 years,0,
Anguilla,1984,male,35-54 years,0,
Anguilla,1984,male,5-14 years,0,
Anguilla,1984,male,55-74 years,0,
Anguilla,1984,male,75+ years,0,
Anguilla,1985,female,15-24 years,0,
Anguilla,1985,female,25-34 years,0,
Anguilla,1985,female,35-54 years,0,
Anguilla,1985,female,5-14 years,0,
Anguilla,1985,female,55-74 years,0,
Anguilla,1985,female,75+ years,0,
Anguilla,1985,male,15-24 years,0,
Anguilla,1985,male,25-34 years,0,
Anguilla,1985,male,35-54 years,0,
Anguilla,1985,male,5-14 years,0,
Anguilla,1985,male,55-74 years,0,
Anguilla,1985,male,75+ years,0,
Anguilla,1986,female,15-24 years,0,
Anguilla,1986,female,25-34 years,0,
Anguilla,1986,female,35-54 years,0,
Anguilla,1986,female,5-14 years,0,
Anguilla,1986,female,55-74 years,0,
Anguilla,1986,female,75+ years,0,
Anguilla,1986,male,15-24 years,0,
Anguilla,1986,male,25-34 years,0,
Anguilla,1986,male,35-54 years,0,
Anguilla,1986,male,5-14 years,0,
Anguilla,1986,male,55-74 years,0,
Anguilla,1986,male,75+ years,0,
Anguilla,1987,female,15-24 years,0,
Anguilla,1987,female,25-34 years,0,
Anguilla,1987,female,35-54 years,0,
Anguilla,1987,female,5-14 years,0,
Anguilla,1987,female,55-74 years,0,
Anguilla,1987,female,75+ years,0,
Anguilla,1987,male,15-24 years,0,
Anguilla,1987,male,25-34 years,0,
Anguilla,1987,male,35-54 years,0,
Anguilla,1987,male,5-14 years,0,
Anguilla,1987,male,55-74 years,0,
Anguilla,1987,male,75+ years,0,
Anguilla,1988,female,15-24 years,0,
Anguilla,1988,female,25-34 years,0,
Anguilla,1988,female,35-54 years,0,
Anguilla,1988,female,5-14 years,0,
Anguilla,1988,female,55-74 years,0,
Anguilla,1988,female,75+ years,0,
Anguilla,1988,male,15-24 years,0,
Anguilla,1988,male,25-34 years,0,
Anguilla,1988,male,35-54 years,0,
Anguilla,1988,male,5-14 years,0,
Anguilla,1988,male,55-74 years,0,
Anguilla,1988,male,75+ years,0,
Anguilla,1989,female,15-24 years,0,
Anguilla,1989,female,25-34 years,0,
Anguilla,1989,female,35-54 years,0,
Anguilla,1989,female,5-14 years,0,
Anguilla,1989,female,55-74 years,0,
Anguilla,1989,female,75+ years,0,
Anguilla,1989,male,15-24 years,0,
Anguilla,1989,male,25-34 years,0,
Anguilla,1989,male,35-54 years,0,
Anguilla,1989,male,5-14 years,0,
Anguilla,1989,male,55-74 years,0,
Anguilla,1989,male,75+ years,0,
Anguilla,1990,female,15-24 years,0,
Anguilla,1990,female,25-34 years,0,
Anguilla,1990,female,35-54 years,0,
Anguilla,1990,female,5-14 years,0,
Anguilla,1990,female,55-74 years,0,
Anguilla,1990,female,75+ years,0,
Anguilla,1990,male,15-24 years,0,
Anguilla,1990,male,25-34 years,0,
Anguilla,1990,male,35-54 years,0,
Anguilla,1990,male,5-14 years,0,
Anguilla,1990,male,55-74 years,0,
Anguilla,1990,male,75+ years,0,
Anguilla,1991,female,15-24 years,0,
Anguilla,1991,female,25-34 years,0,
Anguilla,1991,female,35-54 years,0,
Anguilla,1991,female,5-14 years,0,
Anguilla,1991,female,55-74 years,0,
Anguilla,1991,female,75+ years,0,
Anguilla,1991,male,15-24 years,0,
Anguilla,1991,male,25-34 years,0,
Anguilla,1991,male,35-54 years,0,
Anguilla,1991,male,5-14 years,0,
Anguilla,1991,male,55-74 years,0,
Anguilla,1991,male,75+ years,0,
Anguilla,1992,female,15-24 years,0,
Anguilla,1992,female,25-34 years,0,
Anguilla,1992,female,35-54 years,0,
Anguilla,1992,female,5-14 years,0,
Anguilla,1992,female,55-74 years,0,
Anguilla,1992,female,75+ years,0,
Anguilla,1992,male,15-24 years,0,
Anguilla,1992,male,25-34 years,0,
Anguilla,1992,male,35-54 years,0,
Anguilla,1992,male,5-14 years,0,
Anguilla,1992,male,55-74 years,0,
Anguilla,1992,male,75+ years,0,
Anguilla,1993,female,15-24 years,0,
Anguilla,1993,female,25-34 years,0,
Anguilla,1993,female,35-54 years,0,
Anguilla,1993,female,5-14 years,0,
Anguilla,1993,female,55-74 years,0,
Anguilla,1993,female,75+ years,0,
Anguilla,1993,male,15-24 years,0,
Anguilla,1993,male,25-34 years,0,
Anguilla,1993,male,35-54 years,0,
Anguilla,1993,male,5-14 years,0,
Anguilla,1993,male,55-74 years,0,
Anguilla,1993,male,75+ years,0,
Anguilla,1994,female,15-24 years,0,
Anguilla,1994,female,25-34 years,0,
Anguilla,1994,female,35-54 years,0,
Anguilla,1994,female,5-14 years,0,
Anguilla,1994,female,55-74 years,0,
Anguilla,1994,female,75+ years,0,
Anguilla,1994,male,15-24 years,0,
Anguilla,1994,male,25-34 years,0,
Anguilla,1994,male,35-54 years,0,
Anguilla,1994,male,5-14 years,0,
Anguilla,1994,male,55-74 years,0,
Anguilla,1994,male,75+ years,0,
Anguilla,1995,female,15-24 years,0,
Anguilla,1995,female,25-34 years,0,
Anguilla,1995,female,35-54 years,0,
Anguilla,1995,female,5-14 years,0,
Anguilla,1995,female,55-74 years,0,
Anguilla,1995,female,75+ years,0,
Anguilla,1995,male,15-24 years,0,
Anguilla,1995,male,25-34 years,0,
Anguilla,1995,male,35-54 years,0,
Anguilla,1995,male,5-14 years,0,
Anguilla,1995,male,55-74 years,0,
Anguilla,1995,male,75+ years,0,
Anguilla,2000,female,15-24 years,0,
Anguilla,2000,female,25-34 years,0,
Anguilla,2000,female,35-54 years,0,
Anguilla,2000,female,5-14 years,0,
Anguilla,2000,female,55-74 years,0,
Anguilla,2000,female,75+ years,0,
Anguilla,2000,male,15-24 years,0,
Anguilla,2000,male,25-34 years,0,
Anguilla,2000,male,35-54 years,0,
Anguilla,2000,male,5-14 years,0,
Anguilla,2000,male,55-74 years,0,
Anguilla,2000,male,75+ years,0,
Anguilla,2001,female,15-24 years,0,
Anguilla,2001,female,25-34 years,0,
Anguilla,2001,female,35-54 years,0,
Anguilla,2001,female,5-14 years,0,
Anguilla,2001,female,55-74 years,0,
Anguilla,2001,female,75+ years,0,
Anguilla,2001,male,15-24 years,0,
Anguilla,2001,male,25-34 years,0,
Anguilla,2001,male,35-54 years,0,
Anguilla,2001,male,5-14 years,0,
Anguilla,2001,male,55-74 years,0,
Anguilla,2001,male,75+ years,0,
Anguilla,2002,female,15-24 years,0,
Anguilla,2002,female,25-34 years,0,
Anguilla,2002,female,35-54 years,0,
Anguilla,2002,female,5-14 years,0,
Anguilla,2002,female,55-74 years,0,
Anguilla,2002,female,75+ years,0,
Anguilla,2002,male,15-24 years,0,
Anguilla,2002,male,25-34 years,0,
Anguilla,2002,male,35-54 years,1,
Anguilla,2002,male,5-14 years,0,
Anguilla,2002,male,55-74 years,0,
Anguilla,2002,male,75+ years,0,
Anguilla,2003,female,15-24 years,0,
Anguilla,2003,female,25-34 years,0,
Anguilla,2003,female,35-54 years,0,
Anguilla,2003,female,5-14 years,0,
Anguilla,2003,female,55-74 years,0,
Anguilla,2003,female,75+ years,0,
Anguilla,2003,male,15-24 years,0,
Anguilla,2003,male,25-34 years,0,
Anguilla,2003,male,35-54 years,0,
Anguilla,2003,male,5-14 years,0,
Anguilla,2003,male,55-74 years,0,
Anguilla,2003,male,75+ years,0,
Anguilla,2004,female,15-24 years,0,
Anguilla,2004,female,25-34 years,0,
Anguilla,2004,female,35-54 years,0,
Anguilla,2004,female,5-14 years,0,
Anguilla,2004,female,55-74 years,0,
Anguilla,2004,female,75+ years,0,
Anguilla,2004,male,15-24 years,0,
Anguilla,2004,male,25-34 years,0,
Anguilla,2004,male,35-54 years,0,
Anguilla,2004,male,5-14 years,0,
Anguilla,2004,male,55-74 years,0,
Anguilla,2004,male,75+ years,0,
Anguilla,2005,female,15-24 years,0,
Anguilla,2005,female,25-34 years,0,
Anguilla,2005,female,35-54 years,0,
Anguilla,2005,female,5-14 years,0,
Anguilla,2005,female,55-74 years,0,
Anguilla,2005,female,75+ years,0,
Anguilla,2005,male,15-24 years,0,
Anguilla,2005,male,25-34 years,0,
Anguilla,2005,male,35-54 years,0,
Anguilla,2005,male,5-14 years,0,
Anguilla,2005,male,55-74 years,0,
Anguilla,2005,male,75+ years,0,
Anguilla,2006,female,15-24 years,0,
Anguilla,2006,female,25-34 years,0,
Anguilla,2006,female,35-54 years,0,
Anguilla,2006,female,5-14 years,0,
Anguilla,2006,female,55-74 years,0,
Anguilla,2006,female,75+ years,0,
Anguilla,2006,male,15-24 years,0,
Anguilla,2006,male,25-34 years,0,
Anguilla,2006,male,35-54 years,0,
Anguilla,2006,male,5-14 years,0,
Anguilla,2006,male,55-74 years,0,
Anguilla,2006,male,75+ years,0,
Anguilla,2008,female,15-24 years,0,
Anguilla,2008,female,25-34 years,0,
Anguilla,2008,female,35-54 years,0,
Anguilla,2008,female,5-14 years,0,
Anguilla,2008,female,55-74 years,0,
Anguilla,2008,female,75+ years,0,
Anguilla,2008,male,15-24 years,0,
Anguilla,2008,male,25-34 years,0,
Anguilla,2008,male,35-54 years,0,
Anguilla,2008,male,5-14 years,0,
Anguilla,2008,male,55-74 years,0,
Anguilla,2008,male,75+ years,0,
Anguilla,2009,female,15-24 years,0,
Anguilla,2009,female,25-34 years,0,
Anguilla,2009,female,35-54 years,0,
Anguilla,2009,female,5-14 years,0,
Anguilla,2009,female,55-74 years,0,
Anguilla,2009,female,75+ years,0,
Anguilla,2009,male,15-24 years,0,
Anguilla,2009,male,25-34 years,0,
Anguilla,2009,male,35-54 years,0,
Anguilla,2009,male,5-14 years,0,
Anguilla,2009,male,55-74 years,0,
Anguilla,2009,male,75+ years,0,
Anguilla,2010,female,15-24 years,0,
Anguilla,2010,female,25-34 years,0,
Anguilla,2010,female,35-54 years,0,
Anguilla,2010,female,5-14 years,0,
Anguilla,2010,female,55-74 years,0,
Anguilla,2010,female,75+ years,0,
Anguilla,2010,male,15-24 years,0,
Anguilla,2010,male,25-34 years,0,
Anguilla,2010,male,35-54 years,0,
Anguilla,2010,male,5-14 years,0,
Anguilla,2010,male,55-74 years,0,
Anguilla,2010,male,75+ years,0,
Anguilla,2011,female,15-24 years,0,
Anguilla,2011,female,25-34 years,0,
Anguilla,2011,female,35-54 years,0,
Anguilla,2011,female,5-14 years,0,
Anguilla,2011,female,55-74 years,0,
Anguilla,2011,female,75+ years,0,
Anguilla,2011,male,15-24 years,0,
Anguilla,2011,male,25-34 years,0,
Anguilla,2011,male,35-54 years,0,
Anguilla,2011,male,5-14 years,0,
Anguilla,2011,male,55-74 years,1,
Anguilla,2011,male,75+ years,0,
Anguilla,2012,female,15-24 years,0,
Anguilla,2012,female,25-34 years,0,
Anguilla,2012,female,35-54 years,0,
Anguilla,2012,female,5-14 years,0,
Anguilla,2012,female,55-74 years,0,
Anguilla,2012,female,75+ years,0,
Anguilla,2012,male,15-24 years,0,
Anguilla,2012,male,25-34 years,0,
Anguilla,2012,male,35-54 years,0,
Anguilla,2012,male,5-14 years,0,
Anguilla,2012,male,55-74 years,0,
Anguilla,2012,male,75+ years,0,
Anguilla,2013,female,15-24 years,0,
Anguilla,2013,female,25-34 years,0,
Anguilla,2013,female,35-54 years,0,
Anguilla,2013,female,5-14 years,0,
Anguilla,2013,female,55-74 years,0,
Anguilla,2013,female,75+ years,0,
Anguilla,2013,male,15-24 years,0,
Anguilla,2013,male,25-34 years,0,
Anguilla,2013,male,35-54 years,0,
Anguilla,2013,male,5-14 years,0,
Anguilla,2013,male,55-74 years,0,
Anguilla,2013,male,75+ years,0,
Anguilla,2014,female,15-24 years,0,
Anguilla,2014,female,25-34 years,0,
Anguilla,2014,female,35-54 years,0,
Anguilla,2014,female,5-14 years,0,
Anguilla,2014,female,55-74 years,0,
Anguilla,2014,female,75+ years,0,
Anguilla,2014,male,15-24 years,0,
Anguilla,2014,male,25-34 years,0,
Anguilla,2014,male,35-54 years,0,
Anguilla,2014,male,5-14 years,0,
Anguilla,2014,male,55-74 years,0,
Anguilla,2014,male,75+ years,0,
Anguilla,2015,female,15-24 years,0,
Anguilla,2015,female,25-34 years,0,
Anguilla,2015,female,35-54 years,0,
Anguilla,2015,female,5-14 years,0,
Anguilla,2015,female,55-74 years,0,
Anguilla,2015,female,75+ years,0,
Anguilla,2015,male,15-24 years,0,
Anguilla,2015,male,25-34 years,0,
Anguilla,2015,male,35-54 years,0,
Anguilla,2015,male,5-14 years,0,
Anguilla,2015,male,55-74 years,0,
Anguilla,2015,male,75+ years,0,
Anguilla,2016,female,15-24 years,0,
